x,y,ID,DKmapsf$KN10kmDK
95,245,234,10km_629_53
95,255,235,10km_630_53
95,265,236,10km_631_53
95,275,237,10km_632_53
95,285,238,10km_633_53
95,295,239,10km_634_53
95,305,240,10km_635_53
105,25,241,10km_607_54
105,35,242,10km_608_54
105,45,243,10km_609_54
105,55,244,10km_610_54
105,65,245,10km_611_54
105,75,246,10km_612_54
105,85,247,10km_613_54
105,95,248,10km_614_54
105,105,249,10km_615_54
105,115,250,10km_616_54
105,125,251,10km_617_54
105,135,252,10km_618_54
105,145,253,10km_619_54
105,155,254,10km_620_54
105,165,255,10km_621_54
105,175,256,10km_622_54
105,185,257,10km_623_54
105,195,258,10km_624_54
105,205,259,10km_625_54
105,215,260,10km_626_54
105,225,261,10km_627_54
105,235,262,10km_628_54
105,245,263,10km_629_54
105,255,264,10km_630_54
105,265,265,10km_631_54
105,275,266,10km_632_54
105,285,267,10km_633_54
105,295,268,10km_634_54
105,305,269,10km_635_54
105,315,270,10km_636_54
105,325,271,10km_637_54
115,25,272,10km_607_55
115,35,273,10km_608_55
115,45,274,10km_609_55
115,55,275,10km_610_55
115,75,276,10km_612_55
115,85,277,10km_613_55
115,95,278,10km_614_55
115,105,279,10km_615_55
115,115,280,10km_616_55
115,125,281,10km_617_55
115,135,282,10km_618_55
115,145,283,10km_619_55
115,155,284,10km_620_55
115,165,285,10km_621_55
115,175,286,10km_622_55
115,185,287,10km_623_55
115,195,288,10km_624_55
115,205,289,10km_625_55
115,215,290,10km_626_55
115,225,291,10km_627_55
115,235,292,10km_628_55
115,245,293,10km_629_55
115,255,294,10km_630_55
115,265,295,10km_631_55
115,275,296,10km_632_55
115,285,297,10km_633_55
115,295,298,10km_634_55
115,305,299,10km_635_55
115,315,300,10km_636_55
115,325,301,10km_637_55
115,335,302,10km_638_55
125,25,303,10km_607_56
125,35,304,10km_608_56
125,45,305,10km_609_56
125,55,306,10km_610_56
125,65,307,10km_611_56
125,75,308,10km_612_56
125,85,309,10km_613_56
125,95,310,10km_614_56
125,105,311,10km_615_56
125,115,312,10km_616_56
125,125,313,10km_617_56
125,135,314,10km_618_56
125,145,315,10km_619_56
125,155,316,10km_620_56
125,165,317,10km_621_56
125,175,318,10km_622_56
125,185,319,10km_623_56
125,195,320,10km_624_56
125,205,321,10km_625_56
125,215,322,10km_626_56
125,225,323,10km_627_56
125,235,324,10km_628_56
125,245,325,10km_629_56
125,255,326,10km_630_56
125,265,327,10km_631_56
125,275,328,10km_632_56
125,285,329,10km_633_56
125,295,330,10km_634_56
125,305,331,10km_635_56
125,315,332,10km_636_56
125,325,333,10km_637_56
125,335,334,10km_638_56
135,35,335,10km_608_57
135,45,336,10km_609_57
135,55,337,10km_610_57
135,65,338,10km_611_57
135,75,339,10km_612_57
135,85,340,10km_613_57
135,95,341,10km_614_57
135,105,342,10km_615_57
135,115,343,10km_616_57
135,125,344,10km_617_57
135,135,345,10km_618_57
135,145,346,10km_619_57
135,155,347,10km_620_57
135,165,348,10km_621_57
135,175,349,10km_622_57
135,185,350,10km_623_57
135,195,351,10km_624_57
135,205,352,10km_625_57
135,215,353,10km_626_57
135,225,354,10km_627_57
135,235,355,10km_628_57
135,245,356,10km_629_57
135,255,357,10km_630_57
135,265,358,10km_631_57
135,275,359,10km_632_57
135,285,360,10km_633_57
135,295,361,10km_634_57
135,305,362,10km_635_57
135,315,363,10km_636_57
135,325,364,10km_637_57
135,335,365,10km_638_57
145,25,366,10km_607_58
145,35,367,10km_608_58
145,45,368,10km_609_58
145,55,369,10km_610_58
145,65,370,10km_611_58
145,75,371,10km_612_58
145,85,372,10km_613_58
145,95,373,10km_614_58
145,105,374,10km_615_58
145,115,375,10km_616_58
145,135,376,10km_618_58
145,145,377,10km_619_58
145,175,378,10km_622_58
145,185,379,10km_623_58
145,195,380,10km_624_58
145,205,381,10km_625_58
145,215,382,10km_626_58
145,225,383,10km_627_58
145,235,384,10km_628_58
145,265,385,10km_631_58
145,275,386,10km_632_58
145,285,387,10km_633_58
145,295,388,10km_634_58
145,305,389,10km_635_58
145,315,390,10km_636_58
145,325,391,10km_637_58
145,335,392,10km_638_58
145,345,393,10km_639_58
155,25,394,10km_607_59
155,35,395,10km_608_59
155,45,396,10km_609_59
155,55,397,10km_610_59
155,65,398,10km_611_59
155,75,399,10km_612_59
155,85,400,10km_613_59
155,95,401,10km_614_59
155,105,402,10km_615_59
155,135,403,10km_618_59
155,145,404,10km_619_59
155,155,405,10km_620_59
155,175,406,10km_622_59
155,185,407,10km_623_59
155,195,408,10km_624_59
155,205,409,10km_625_59
155,215,410,10km_626_59
155,285,411,10km_633_59
155,295,412,10km_634_59
155,305,413,10km_635_59
155,315,414,10km_636_59
155,325,415,10km_637_59
155,345,416,10km_639_59
155,355,417,10km_640_59
165,15,418,10km_606_60
165,25,419,10km_607_60
165,35,420,10km_608_60
165,45,421,10km_609_60
165,55,422,10km_610_60
165,65,423,10km_611_60
165,75,424,10km_612_60
165,85,425,10km_613_60
165,95,426,10km_614_60
165,105,427,10km_615_60
165,115,428,10km_616_60
165,135,429,10km_618_60
165,145,430,10km_619_60
165,175,431,10km_622_60
165,185,432,10km_623_60
165,195,433,10km_624_60
165,205,434,10km_625_60
165,215,435,10km_626_60
175,15,436,10km_606_61
175,25,437,10km_607_61
175,35,438,10km_608_61
175,45,439,10km_609_61
175,55,440,10km_610_61
175,65,441,10km_611_61
175,75,442,10km_612_61
175,85,443,10km_613_61
175,185,444,10km_623_61
175,195,445,10km_624_61
175,205,446,10km_625_61
175,215,447,10km_626_61
175,295,448,10km_634_61
175,305,449,10km_635_61
185,25,450,10km_607_62
185,35,451,10km_608_62
185,45,452,10km_609_62
185,55,453,10km_610_62
185,65,454,10km_611_62
185,85,455,10km_613_62
185,125,456,10km_617_62
185,295,457,10km_634_62
185,305,458,10km_635_62
195,15,459,10km_606_63
195,25,460,10km_607_63
195,35,461,10km_608_63
195,45,462,10km_609_63
195,65,463,10km_611_63
195,75,464,10km_612_63
195,85,465,10km_613_63
195,95,466,10km_614_63
195,105,467,10km_615_63
195,115,468,10km_616_63
195,125,469,10km_617_63
195,305,470,10km_635_63
205,15,471,10km_606_64
205,25,472,10km_607_64
205,35,473,10km_608_64
205,45,474,10km_609_64
205,65,475,10km_611_64
205,75,476,10km_612_64
205,85,477,10km_613_64
205,95,478,10km_614_64
205,105,479,10km_615_64
205,115,480,10km_616_64
205,125,481,10km_617_64
205,135,482,10km_618_64
205,155,483,10km_620_64
215,5,484,10km_605_65
215,15,485,10km_606_65
215,25,486,10km_607_65
215,35,487,10km_608_65
215,45,488,10km_609_65
215,65,489,10km_611_65
215,75,490,10km_612_65
215,85,491,10km_613_65
215,95,492,10km_614_65
215,105,493,10km_615_65
215,115,494,10km_616_65
215,125,495,10km_617_65
215,135,496,10km_618_65
215,145,497,10km_619_65
215,155,498,10km_620_65
225,5,499,10km_605_66
225,15,500,10km_606_66
225,25,501,10km_607_66
225,35,502,10km_608_66
225,45,503,10km_609_66
225,55,504,10km_610_66
225,65,505,10km_611_66
225,75,506,10km_612_66
225,85,507,10km_613_66
225,95,508,10km_614_66
